Address,Price
"30 Main St #11BC, Brooklyn, NY 11201","6,888,000"
"446 Kent Ave APT 5A, Brooklyn, NY 11249","2,750,000"
"307 Autumn Ave, Brooklyn, NY 11208","799,000"
"204 Monroe St #1A, Brooklyn, NY 11216","859,000"
"4180 Ocean Ave, Brooklyn, NY 11235","4,400,000"
"223 Chauncey St, Brooklyn, NY 11233","1,425,000"
"226 Saint James Pl #2, Brooklyn, NY 11238","1,200,000"
"1890 Bergen St, Brooklyn, NY 11233","899,900"
"1940 20th Dr, Brooklyn, NY 11214","1,039,000"
"1144 E 101st St, Brooklyn, NY 11236","799,000"
"221 Roebling St, Brooklyn, NY 11211","3,350,000"
"618 Monroe St APT 403, Brooklyn, NY 11221","499,000"
"369 Harman St APT 1A, Brooklyn, NY 11237","560,000"
"2741 E 28th St #2AA, Brooklyn, NY 11235","230,000"
"1086 Sheepshead Bay Rd, Brooklyn, NY 11229","1,650,000"
"2211 Bragg St APT 6G, Brooklyn, NY 11229","229,000"
"1782 W 7th St, Brooklyn, NY 11223","828,000"
"2600 E 21st St APT 1B, Brooklyn, NY 11235","279,000"
"918 E 14th St APT C2, Brooklyn, NY 11230","235,000"
"1293 E 5th St APT 6G, Brooklyn, NY 11230","300,000"
"558 17th St, Brooklyn, NY 11215","1,850,000"
"345 Webster Ave APT 1M, Brooklyn, NY 11230","190,000"
"306 Gold St APT 10G, Brooklyn, NY 11201","1,182,000"
"442 97th St APT 2G, Brooklyn, NY 11209","869,000"
"8 Saint Marks Pl #2B, Brooklyn, NY 11217","1,369,000"
"7901 4th Ave #21B, Brooklyn, NY 11209","299,000"
"7511 Avenue X, Brooklyn, NY 11234","1,099,000"
"85 Jay St FRONT 5G, Brooklyn, NY 11201","1,215,000"
"118 8th Ave APT 10A, Brooklyn, NY 11215","1,285,000"
"35 Crown St APT 3C, Brooklyn, NY 11225","399,000"
"3235 Emmons Ave APT 426, Brooklyn, NY 11235","399,000"
"1780 E 22nd St, Brooklyn, NY 11229","1,350,000"
"730 Forbell St, Brooklyn, NY 11208","845,000"
"146 Bay 41st St, Brooklyn, NY 11214","1,150,000"
"39 Kenilworth Pl, Brooklyn, NY 11210","999,000"
"709 E 51st St, Brooklyn, NY 11203","899,000"
"13 Nova Ct, Brooklyn, NY 11229","699,000"
"440 Van Brunt St, Brooklyn, NY 11231","13,995,000"
"1520 Bedford Ave APT 4A, Brooklyn, NY 11216","699,000"
"1105 Winthrop St, Brooklyn, NY 11212","400,000"
"974 E 43rd St, Brooklyn, NY 11210","550,000"
"447 Humboldt St PENTHOUSE A, Brooklyn, NY 11211","1,350,000"
"97 S 8th St APT 22, Brooklyn, NY 11249","325,000"
"57 Wyckoff St, Brooklyn, NY 11201","12,500,000"
"709 E 51st St, Brooklyn, NY 11203","899,000"
"13 Nova Ct, Brooklyn, NY 11229","699,000"
"440 Van Brunt St, Brooklyn, NY 11231","13,995,000"
"1520 Bedford Ave APT 4A, Brooklyn, NY 11216","699,000"
"1105 Winthrop St, Brooklyn, NY 11212","400,000"
"974 E 43rd St, Brooklyn, NY 11210","550,000"
"447 Humboldt St PENTHOUSE A, Brooklyn, NY 11211","1,350,000"
"97 S 8th St APT 22, Brooklyn, NY 11249","325,000"
"57 Wyckoff St, Brooklyn, NY 11201","12,500,000"
"709 E 51st St, Brooklyn, NY 11203","899,000"
"13 Nova Ct, Brooklyn, NY 11229","699,000"
"440 Van Brunt St, Brooklyn, NY 11231","13,995,000"
"1520 Bedford Ave APT 4A, Brooklyn, NY 11216","699,000"
"1105 Winthrop St, Brooklyn, NY 11212","400,000"
"974 E 43rd St, Brooklyn, NY 11210","550,000"
"447 Humboldt St PENTHOUSE A, Brooklyn, NY 11211","1,350,000"
"97 S 8th St APT 22, Brooklyn, NY 11249","325,000"
"57 Wyckoff St, Brooklyn, NY 11201","12,500,000"
"709 E 51st St, Brooklyn, NY 11203","899,000"
"13 Nova Ct, Brooklyn, NY 11229","699,000"
"440 Van Brunt St, Brooklyn, NY 11231","13,995,000"
"1520 Bedford Ave APT 4A, Brooklyn, NY 11216","699,000"
"1105 Winthrop St, Brooklyn, NY 11212","400,000"
"974 E 43rd St, Brooklyn, NY 11210","550,000"
"447 Humboldt St PENTHOUSE A, Brooklyn, NY 11211","1,350,000"
"97 S 8th St APT 22, Brooklyn, NY 11249","325,000"
"57 Wyckoff St, Brooklyn, NY 11201","12,500,000"
"709 E 51st St, Brooklyn, NY 11203","899,000"
"13 Nova Ct, Brooklyn, NY 11229","699,000"
"440 Van Brunt St, Brooklyn, NY 11231","13,995,000"
"1520 Bedford Ave APT 4A, Brooklyn, NY 11216","699,000"
"1105 Winthrop St, Brooklyn, NY 11212","400,000"
"974 E 43rd St, Brooklyn, NY 11210","550,000"
"447 Humboldt St PENTHOUSE A, Brooklyn, NY 11211","1,350,000"
