Address,Beds,Baths,Area,Construction,Parking,Price,Latitude,Longitude
"2109 Broadway #519/520, New York, NY 10023",1,2,0,0,0,879000,40.6936687,-73.7174887
"165 Lexington Ave #2B, New York, NY 10016",0,1,432,0,0,800000,40.744,-73.981409
"310 E 70th St APT 6A, New York, NY 10021",1,1,950,0,0,899000,40.7670514,-73.9587863
"1165 5th Ave #1C, New York, NY 10029",2,2,1100,0,0,895000,40.783246,-73.944723
"63 E 9th St APT 5A, New York, NY 10003",1,1,0,0,0,895000,40.7314066,-73.992236
"530 Grand St APT F3A, Manhattan, NY 10002",2,1,1000,0,0,899000,40.7144935,-73.9811341
"196 Orchard St #5NN, New York, NY 10002",1,1,650,0,0,850000,40.721668,-73.988358
"552 Riverside Dr APT 2D, New York, NY 10027",2,1,750,0,0,800000,40.8163353,-73.9603157
"540 W 49th St APT 507N, New York, NY 10019",0,1,507,0,0,825000,40.7646095,-73.9937807
"370 Convent Ave #4A, New York, NY 10031",2,1,921,0,0,800000,40.825071,-73.946075
"43 E 10th St APT 6A, New York, NY 10003",0,1,500,0,0,865000,40.7323523,-73.9923858
"750 Park Ave #4E, New York, NY 10021",1,1,0,0,0,899000,40.7709722,-73.9642241
"250 E 40th St APT 23A, New York, NY 10016",1,1,707,0,0,825000,40.7485521,-73.9735528
"80 Park Ave APT 11K, New York, NY 10016",1,1,910,0,0,884000,40.7501705,-73.9793987
"40 Pinehurst Ave #3A, New York, NY 10033",2,2,22901,0,0,900000,40.849939,-73.939863
"110 W 86th St APT 3E, New York, NY 10024",1,1,750,0,0,825000,40.7864711,-73.972707
"90 William St APT 14D, New York, NY 10038",1,1,849,0,0,898000,40.708198,-74.0076571
"350 W 42nd St APT 4L, New York, NY 10036",0,1,711,0,0,869000,40.7578472,-73.9922301
"205 E 63rd St APT 4G, New York, NY 10065",2,2,0,0,0,849000,40.7639362,-73.9641732
"17 Convent Ave #3A, New York, NY 10027",1,1,739,0,0,850000,40.813404,-73.953041
"159 W 53rd St APT 24F, New York, NY 10019",1,1,739,0,0,875000,40.7627986,-73.9812172
"179 E 79th St APT 1-B, New York, NY 10075",1,1,0,0,0,850000,40.774684,-73.9576476
